Log, Data Time, BTC_Price
0,01/03/20 00:46:40,$6963.43,
1,01/03/20 00:47:12,$6962.43,
2,01/03/20 00:47:44,$6961.41,
3,01/03/20 00:48:19,$6961.44,
4,01/03/20 00:48:52,$6958.30,
5,01/03/20 00:49:24,$6958.60,
6,01/03/20 00:49:56,$6954.30,
7,01/03/20 00:50:28,$6957.11,
8,01/03/20 00:51:00,$6956.94,
9,01/03/20 00:51:35,$6956.30,
10,01/03/20 00:52:07,$6958.48,
11,01/03/20 00:52:39,$6957.20,
